userID2,venID,rating
2,3,1
2,5,0
2,5,0
3,3,0
3,4,1
3,3,1
3,5,0
4,5,1
5,3,1
6,3,1
6,5,0
6,3,1
7,4,1
8,3,1
8,4,1
8,1,0
9,1,0
10,2,0
10,1,1
11,1,1
11,3,1
12,1,1
12,2,1
12,2,1
12,2,0
12,5,0
13,4,1
13,5,0
13,5,0
13,3,0
13,3,0
15,2,1
16,5,0
16,5,0
16,3,0
17,2,1
17,4,0
18,3,0
18,2,1
18,3,1
19,3,1
19,1,1
19,3,0
20,3,1
20,2,1
21,5,1
21,3,0
21,2,1
22,3,1
23,3,0
23,2,0
23,4,0
23,2,1
24,2,0
24,3,0
25,3,0
27,3,1
27,2,1
29,5,1
30,3,1
30,1,1
31,3,0
31,1,0
32,1,1
32,4,0
33,3,0
33,5,1
34,5,1
34,5,1
35,3,1
35,3,1
35,3,0
36,4,0
36,4,1
37,3,0
37,1,0
38,5,0
38,5,0
38,5,1
38,1,0
38,3,1
39,4,0
39,3,0
40,1,0
40,4,0
40,3,1
40,2,1
41,4,1
42,5,1
42,2,1
43,2,0
43,1,0
43,3,0
43,3,1
44,3,0
44,3,1
44,2,0
45,3,1
46,1,1
47,2,0
47,2,1
48,2,0
49,1,0
49,2,0
50,2,0
51,3,1
51,3,0
52,3,1
53,5,0
54,1,0
55,3,0
55,1,0
55,4,1
55,4,1
56,3,0
56,3,1
56,5,1
57,2,1
58,4,1
59,3,0
59,2,1
59,2,0
60,2,0
60,5,1
62,3,1
63,3,1
64,4,1
65,2,1
65,2,0
66,4,1
66,5,1
66,3,0
69,3,0
69,3,1
69,3,0
69,5,0
70,1,0
70,3,1
71,5,0
72,2,1
74,2,0
74,3,0
74,1,0
74,4,1
75,3,1
76,3,0
76,3,1
77,3,0
77,3,1
77,3,0
78,2,0
78,3,1
78,4,0
79,1,0
80,1,1
80,3,1
80,5,1
82,2,0
82,1,0
82,4,0
83,2,0
84,3,0
85,3,1
86,1,1
86,5,0
87,1,1
88,4,1
88,3,0
89,3,1
92,3,0
92,3,0
92,5,0
93,4,0
93,2,1
93,3,0
93,2,1
93,1,0
96,5,1
97,5,1
97,5,0
97,5,0
98,2,0
99,1,1
99,3,1
100,1,1
101,5,0
102,5,0
103,5,0
103,2,1
103,3,0
103,3,1
104,2,0
106,1,0
106,5,0
106,3,1
106,2,1
107,3,0
107,3,0
108,1,0
108,3,1
109,5,1
111,1,0
111,1,1
111,5,1
113,5,1
113,5,0
113,1,0
114,3,0
114,2,0
114,3,0
114,1,0
115,3,0
116,4,0
116,1,1
116,3,1
116,3,1
116,3,1
117,1,1
118,3,1
118,5,1
118,5,0
119,3,0
119,5,0
120,2,0
120,2,1
120,3,1
120,5,1
121,3,1
121,5,1
122,4,1
122,3,0
122,5,1
123,2,1
123,3,1
124,5,0
124,1,0
124,4,0
124,3,0
124,3,0
126,3,0
126,3,1
126,3,0
127,3,1
127,1,0
128,4,0
129,4,0
130,4,0
130,3,1
131,3,0
133,3,0
133,1,1
133,1,0
133,1,1
134,3,0
135,2,1
135,4,0
136,3,1
137,1,1
138,1,1
138,1,0
139,2,1
140,1,0
140,3,1
140,1,0
141,2,0
142,5,1
142,3,0
142,2,1
142,3,0
143,3,0
143,3,1
143,3,0
143,5,0
143,1,1
145,1,1
145,4,0
145,4,0
146,3,1
147,2,1
149,3,1
149,5,0
150,1,0
150,1,0
150,5,0
152,1,0
153,3,0
153,2,1
153,5,0
153,3,1
154,5,1
155,2,0
155,5,1
155,2,0
155,3,0
155,3,1
156,5,0
157,4,1
158,4,1
158,2,0
159,3,1
159,3,0
159,2,1
159,1,0
159,4,0
159,3,0
161,5,1
162,5,1
162,5,0
162,3,1
162,1,1
163,3,1
163,3,0
164,4,1
164,2,1
165,1,0
165,1,0
165,3,1
166,4,1
166,4,0
168,3,0
168,5,1
